Date,Close,High,Low,Open,Volume
1/3/2000,4.471373558,4.604934421,4.436531686,4.581706507,8014400
1/4/2000,4.227483273,4.39588612,4.215869308,4.366850853,9810400
1/5/2000,4.471373558,4.494601473,4.250708369,4.250708369,6542400
1/6/2000,4.448146343,4.448146343,4.326200127,4.448146343,4891200
1/7/2000,4.448146343,4.459760302,4.366848629,4.430725759,3993600
1/10/2000,4.523636341,4.546864254,4.459759227,4.471373183,3946400
1/11/2000,4.750109673,4.854635313,4.575900271,4.587514231,10976000
1/12/2000,4.5875144,4.738495887,4.564286479,4.726881927,10050400
1/13/2000,4.645586014,4.686235246,4.500411805,4.55848163,5144800
1/14/2000,4.767531872,4.819794348,4.6804268,4.703654725,7680800
1/18/2000,4.703653812,4.796565493,4.651391347,4.715267772,8356000
1/19/2000,4.906898499,4.970774925,4.779144937,4.808179483,10299200
1/20/2000,4.790760517,4.959162641,4.761725253,4.947548677,5103200
1/21/2000,4.709459782,4.790757478,4.692038492,4.790757478,10265600
1/24/2000,4.616548538,4.668810993,4.575899332,4.610741205,5733600
1/25/2000,4.54105854,4.657198145,4.506216659,4.604935677,3823200
1/26/2000,4.599127293,4.622355208,4.285550432,4.285550432,12886400
1/27/2000,4.390078068,4.517831662,4.308780326,4.459761847,6304000
1/28/2000,4.355236053,4.366850016,4.273938314,4.366850016,3556000
1/31/2000,4.227483273,4.291360435,4.221676644,4.273939133,4627200
2/1/2000,4.337814808,4.378463317,4.204253901,4.221675197,5971200
2/2/2000,4.40749836,4.506216669,4.291358755,4.332007262,5572800
2/3/2000,4.448146343,4.448146343,4.326200127,4.395883882,3973600
2/4/2000,4.337814808,4.448147083,4.332007473,4.448147083,12485600
2/7/2000,4.204252243,4.332005764,4.151989793,4.332005764,6455200
2/8/2000,3.437733412,4.181027122,3.356435662,4.181027122,65707200
2/9/2000,3.135770082,3.391277274,3.008016487,3.391277274,62571200
2/10/2000,3.135770082,3.234489125,3.05447234,3.100928193,25032800
2/11/2000,3.158997774,3.205453624,3.077700037,3.170611737,12644800
2/14/2000,3.002209425,3.164804887,2.984788128,3.112541706,17859200
2/15/2000,2.82799983,2.984787948,2.810578534,2.978981322,30056000
2/16/2000,2.740894318,2.857033907,2.7176664,2.827999364,22678400
2/17/2000,2.694438696,2.775736415,2.67701811,2.72347395,14977600
2/18/2000,2.601526022,2.706051621,2.543456245,2.68282371,26087200
2/22/2000,2.508615971,2.67121145,2.508615971,2.659597487,12847200
2/23/2000,2.607334614,2.647983123,2.595720653,2.624755201,12624800
2/24/2000,2.514422417,2.607334086,2.473773207,2.601526753,16156800
2/25/2000,2.467966795,2.514422634,2.462159461,2.5086153,14830400
2/28/2000,2.589913845,2.624755735,2.49119551,2.502809474,16385600
2/29/2000,2.642177582,2.706054039,2.589914381,2.589914381,12575200
3/1/2000,2.613141537,2.665404722,2.595720948,2.642176797,9884800
3/2/2000,2.735087872,2.78154371,2.61314094,2.636368859,11260800
3/3/2000,2.729281187,2.810578925,2.706053262,2.793158335,6912800
3/6/2000,2.647983313,2.75250897,2.618948762,2.740895008,7684800
3/7/2000,2.589913845,2.677018925,2.572493254,2.671211589,9532000
3/8/2000,2.531843901,2.566685789,2.508615975,2.531843901,10000000
3/9/2000,2.485387802,2.531843649,2.398283444,2.520229687,14059200
3/10/2000,2.49700141,2.549264584,2.491194784,2.502808744,12566400
3/13/2000,2.671211004,2.717666848,2.462159708,2.520229513,20965600
3/14/2000,2.682825565,2.7989652,2.624755748,2.694439529,18244000
3/15/2000,3.066085339,3.112541177,2.653790127,2.659596752,25912800
3/16/2000,3.327642679,3.537074736,2.92041368,3.065852963,17427200
3/17/2000,3.164751053,3.362547994,2.99022434,3.222926624,30021600
3/20/2000,3.071669817,3.106575156,3.007677051,3.007677051,14386400
3/21/2000,3.08330512,3.11239326,3.001859325,3.08330512,13809600
3/22/2000,3.141480684,3.211291366,3.112393255,3.188021139,11780000
3/23/2000,3.164751053,3.222926624,3.094940368,3.12984571,12538400
3/24/2000,3.153116941,3.211292531,3.13566462,3.164752059,7305600
3/27/2000,3.345095873,3.374183305,3.257832156,3.350913075,16704800
3/28/2000,3.426542044,3.426542044,3.327643202,3.368366463,9060800
3/29/2000,3.630157471,3.653427711,3.426543224,3.426543224,17080800
3/30/2000,3.601069212,3.641791768,3.507988272,3.635974564,13088800
3/31/2000,3.688329697,3.723235025,3.577796512,3.60688393,15036800
4/3/2000,3.723237038,3.816317964,3.723237038,3.816317964,14220800
4/4/2000,3.624340534,3.734873828,3.385820199,3.723238707,12149600
4/5/2000,3.647608995,3.769777351,3.618520852,3.676696429,5654400
4/6/2000,3.868676186,3.886128503,3.659244111,3.659244111,11058400
4/7/2000,3.996663332,3.996663332,3.891947271,3.955940064,12285600
4/10/2000,4.0024786,4.019931623,3.909397702,3.985026286,6696800
4/11/2000,4.200278759,4.258454365,4.083927547,4.083927547,18799200
4/12/2000,4.136283875,4.217729682,4.089743413,4.194459451,9212800
4/13/2000,4.08974123,4.206092322,4.072288211,4.142098866,9680000
4/14/2000,3.967573643,4.025749209,3.804682056,3.955938529,17863200
4/17/2000,3.909399509,4.00248045,3.804683451,3.990845333,12481600
4/18/2000,3.944303036,4.049019046,3.810499601,3.891945386,11352000
4/19/2000,4.101378441,4.270087255,4.002479607,4.037384953,9402400
4/20/2000,4.08974123,4.130463757,4.072288211,4.107193539,6341600
4/24/2000,4.01993084,4.223544908,4.00829573,4.101376609,7215200
4/25/2000,4.246816635,4.264269661,3.990844126,4.014114354,6885600
4/26/2000,4.083924294,4.211910525,4.019931533,4.211910525,4333600
4/27/2000,4.03156805,4.054838282,3.967574557,4.002479905,3830400
4/28/2000,4.043203354,4.182824752,4.014115207,4.142101489,7720000
5/1/2000,4.334079742,4.386437393,4.03738402,4.043201931,8130400
5/2/2000,4.211909771,4.31080856,4.153734222,4.31080856,4469600
5/3/2000,3.944303036,4.066472069,3.874492363,4.025748821,8126400
5/4/2000,3.9792099,4.095561067,3.955939667,4.002480133,6128800
5/5/2000,3.9792099,4.03156828,3.886128967,3.9792099,4955200
5/8/2000,4.008297443,4.083925335,3.967574186,3.979209301,6868000
5/9/2000,4.01993084,4.043201059,3.93266716,3.98502551,6644000
5/10/2000,3.932669163,3.96757451,3.868676381,3.955939394,4293600
5/11/2000,3.973390818,3.979208018,3.915215262,3.932667573,2653600
5/12/2000,3.985026836,3.985026836,3.886128014,3.909398242,2688000
5/15/2000,4.107194901,4.136283038,3.932668205,3.99084377,5956000
5/16/2000,4.113012791,4.165370444,4.060654427,4.083924653,3246400
5/17/2000,3.845407486,4.066474764,3.827954451,4.060656849,5001600
5/18/2000,3.793045044,3.915214028,3.746504614,3.851220581,7704000
5/19/2000,3.723237038,3.740690066,3.571980533,3.705784719,9682400
5/22/2000,3.688329697,3.82795101,3.641789259,3.723235025,5794400
5/23/2000,3.845407486,3.880312846,3.525441333,3.699968132,11746400
5/24/2000,4.049021721,4.16537292,3.909400282,3.909400282,13967200
5/25/2000,4.03738451,4.089742877,4.014114282,4.072289852,8943200
5/26/2000,4.054837704,4.118830478,4.014114448,4.049019791,4872000
5/30/2000,4.118831158,4.130466274,3.880311629,4.04902046,5676800
5/31/2000,3.990842342,4.107193431,3.781410383,4.107193431,7727200
6/1/2000,4.025753021,4.043206063,3.973395317,4.014117897,4212800
6/2/2000,4.118831158,4.165371623,4.083925809,4.130466274,4600000
6/5/2000,4.113012791,4.177005557,4.054837226,4.118829992,3837600
6/6/2000,3.909399509,4.095561391,3.862859039,4.095561391,3589600
6/7/2000,4.08974123,4.09555843,3.857039047,3.909396683,4171200
6/8/2000,3.996663332,4.002480536,3.909399593,3.955940064,2794400
6/9/2000,3.868676186,4.002479656,3.816317812,3.973392223,5871200
6/12/2000,3.761051416,3.781413227,3.443994816,3.641791816,15022400
6/13/2000,3.630157471,3.769778912,3.53707651,3.763961707,6928800
